"ddg.type","ddg.num","ddg.name","ddg.value","ddg.scope","ddg.from.env","ddg.time","ddg.loc","ddg.current"
"Snapshot",1,"x1","./coerce_ddg/data/1-x1.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.56EDT","",TRUE
"Snapshot",2,"x2","./coerce_ddg/data/2-x2.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.56EDT","",TRUE
"Snapshot",3,"x3","./coerce_ddg/data/3-x3.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.56EDT","",TRUE
"File",4,"addme.csv","./coerce_ddg/data/4-addme.csv","undefined",FALSE,"2016-09-19T09.37.56EDT","/Users/hermes/Projects/HF/projects/Dprov/projects/coerce_example/data/addme.csv",TRUE
"Snapshot",5,"y","./coerce_ddg/data/5-y.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.57EDT","",TRUE
"Snapshot",6,"x1x3","./coerce_ddg/data/6-x1x3.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.57EDT","",TRUE
"Snapshot",7,"x1x2","./coerce_ddg/data/7-x1x2.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.57EDT","",TRUE
"Snapshot",8,"x1y","./coerce_ddg/data/8-x1y.csv","R_GlobalEnv",FALSE,"2016-09-19T09.37.57EDT","",TRUE
"Exception",9,"error.msg","\""Error in FUN(newX[, i], ...): invalid 'type' (character) of argument \""","ddg.library",FALSE,"","",TRUE
