"node","name","value","type","scope","line.in","line.out"
1,"x1","./coerce_ddg/data/1-x1.csv","Snapshot","R_GlobalEnv","2","8 9 10"
2,"x2","./coerce_ddg/data/2-x2.csv","Snapshot","R_GlobalEnv","3","9"
3,"x3","./coerce_ddg/data/3-x3.csv","Snapshot","R_GlobalEnv","4","8"
4,"addme.csv","./coerce_ddg/data/4-addme.csv","File","undefined","NA","5"
5,"y","./coerce_ddg/data/5-y.csv","Snapshot","R_GlobalEnv","5","10"
6,"x1x3","./coerce_ddg/data/6-x1x3.csv","Snapshot","R_GlobalEnv","8","13"
7,"x1x2","./coerce_ddg/data/7-x1x2.csv","Snapshot","R_GlobalEnv","9","14"
8,"x1y","./coerce_ddg/data/8-x1y.csv","Snapshot","R_GlobalEnv","10","NA"
9,"error.msg","\""Error in FUN(newX[, i], ...): invalid 'type' (character) of argument \""","Exception","ddg.library","15","NA"
