"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.auto.created","ddg.time","ddg.duration","ddg.snum","ddg.lnum"
"Start",1,"coerce.R","coerce.R",FALSE,FALSE,1.878,0,0,NA
"Operation",2,"x1 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)","x1 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)",FALSE,FALSE,1.881,0.00299999999999923,0,"2"
"Operation",3,"x2 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)","x2 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)",FALSE,FALSE,1.908,0.027000000000001,0,"3"
"Operation",4,"x3 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)","x3 <- matrix(sample(1:100, 100, replace = TRUE), nrow = 10)",FALSE,FALSE,1.931,0.0229999999999997,0,"4"
"Operation",5,"y <- read.csv(""../data/addme.csv"")","y <- read.csv(""../data/addme.csv"")",FALSE,FALSE,1.96,0.0290000000000008,0,"5"
"Operation",6,"x1x3 <- cbind(x1, x3)","x1x3 <- cbind(x1, x3)",FALSE,FALSE,1.998,0.0379999999999994,0,"8"
"Operation",7,"x1x2 <- cbind(x1, x2)","x1x2 <- cbind(x1, x2)",FALSE,FALSE,2.049,0.0510000000000002,0,"9"
"Operation",8,"x1y <- cbind(x1, y)","x1y <- cbind(x1, y)",FALSE,FALSE,2.093,0.0439999999999996,0,"10"
"Operation",9,"apply(x1x3, 2, sum)","apply(x1x3, 2, sum)",FALSE,FALSE,2.138,0.0449999999999999,0,"13"
"Operation",10,"apply(x1x2, 2, sum)","apply(x1x2, 2, sum)",FALSE,FALSE,2.161,0.0229999999999997,0,"14"
"Operation",11,"tryCatch","tryCatch",FALSE,FALSE,2.185,0.024,0,"15"
