"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
40.8,28,11.2,1.6
39.2,24,11.2,1.6
37.6,25.6,10.4,1.6
36.8,24.8,12,1.6
40,28.8,11.2,1.6
43.2,31.2,13.6,3.2
36.8,27.2,11.2,2.4
40,27.2,12,1.6
35.2,23.2,11.2,1.6
39.2,24.8,12,0.8
43.2,29.6,12,1.6
38.4,27.2,12.8,1.6
38.4,24,11.2,0.8
34.4,24,8.8,0.8
46.4,32,9.6,1.6
45.6,35.2,12,3.2
43.2,31.2,10.4,3.2
40.8,28,11.2,2.4
45.6,30.4,13.6,2.4
40.8,30.4,12,2.4
43.2,27.2,13.6,1.6
40.8,29.6,12,3.2
36.8,28.8,8,1.6
40.8,26.4,13.6,4
38.4,27.2,15.2,1.6
40,24,12.8,1.6
40,27.2,12.8,3.2
41.6,28,12,1.6
41.6,27.2,11.2,1.6
37.6,25.6,12.8,1.6
38.4,24.8,12.8,1.6
43.2,27.2,12,3.2
41.6,32.8,12,0.8
44,33.6,11.2,1.6
39.2,24.8,12,1.6
40,25.6,9.6,1.6
44,28,10.4,1.6
39.2,28.8,11.2,0.8
35.2,24,10.4,1.6
40.8,27.2,12,1.6
40,28,10.4,2.4
36,18.4,10.4,2.4
35.2,25.6,10.4,1.6
40,28,12.8,4.8
40.8,30.4,15.2,3.2
38.4,24,11.2,2.4
40.8,30.4,12.8,1.6
36.8,25.6,11.2,1.6
42.4,29.6,12,1.6
40,26.4,11.2,1.6
56,25.6,37.6,11.2
51.2,25.6,36,12
55.2,24.8,39.2,12
44,18.4,32,10.4
52,22.4,36.8,12
45.6,22.4,36,10.4
50.4,26.4,37.6,12.8
39.2,19.2,26.4,8
52.8,23.2,36.8,10.4
41.6,21.6,31.2,11.2
40,16,28,8
47.2,24,33.6,12
48,17.6,32,8
48.8,23.2,37.6,11.2
44.8,23.2,28.8,10.4
53.6,24.8,35.2,11.2
44.8,24,36,12
46.4,21.6,32.8,8
49.6,17.6,36,12
44.8,20,31.2,8.8
47.2,25.6,38.4,14.4
48.8,22.4,32,10.4
50.4,20,39.2,12
48.8,22.4,37.6,9.6
51.2,23.2,34.4,10.4
52.8,24,35.2,11.2
54.4,22.4,38.4,11.2
53.6,24,40,13.6
48,23.2,36,12
45.6,20.8,28,8
44,19.2,30.4,8.8
44,19.2,29.6,8
46.4,21.6,31.2,9.6
48,21.6,40.8,12.8
43.2,24,36,12
48,27.2,36,12.8
53.6,24.8,37.6,12
50.4,18.4,35.2,10.4
44.8,24,32.8,10.4
44,20,32,10.4
44,20.8,35.2,9.6
48.8,24,36.8,11.2
46.4,20.8,32,9.6
40,18.4,26.4,8
44.8,21.6,33.6,10.4
45.6,24,33.6,9.6
45.6,23.2,33.6,10.4
49.6,23.2,34.4,10.4
40.8,20,24,8.8
45.6,22.4,32.8,10.4
50.4,26.4,48,20
46.4,21.6,40.8,15.2
56.8,24,47.2,16.8
50.4,23.2,44.8,14.4
52,24,46.4,17.6
60.8,24,52.8,16.8
39.2,20,36,13.6
58.4,23.2,50.4,14.4
53.6,20,46.4,14.4
57.6,28.8,48.8,20
52,25.6,40.8,16
51.2,21.6,42.4,15.2
54.4,24,44,16.8
45.6,20,40,16
46.4,22.4,40.8,19.2
51.2,25.6,42.4,18.4
52,24,44,14.4
61.6,30.4,53.6,17.6
61.6,20.8,55.2,18.4
48,17.6,40,12
55.2,25.6,45.6,18.4
44.8,22.4,39.2,16
61.6,22.4,53.6,16
50.4,21.6,39.2,14.4
53.6,26.4,45.6,16.8
57.6,25.6,48,14.4
49.6,22.4,38.4,14.4
48.8,24,39.2,14.4
51.2,22.4,44.8,16.8
57.6,24,46.4,12.8
59.2,22.4,48.8,15.2
63.2,30.4,51.2,16
51.2,22.4,44.8,17.6
50.4,22.4,40.8,12
48.8,20.8,44.8,11.2
61.6,24,48.8,18.4
50.4,27.2,44.8,19.2
51.2,24.8,44,14.4
48,24,38.4,14.4
55.2,24.8,43.2,16.8
53.6,24.8,44.8,19.2
55.2,24.8,40.8,18.4
46.4,21.6,40.8,15.2
54.4,25.6,47.2,18.4
53.6,26.4,45.6,20
53.6,24,41.6,18.4
50.4,20,40,15.2
52,24,41.6,16
49.6,27.2,43.2,18.4
47.2,24,40.8,14.4
